account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
ACC1076,"Graham, Greene and Wells",DevTools,GH,2024-10-19,partner,Pro,40,False,True
ACC1077,"Smith, Herrera and Adams",FinTech,NL,2025-02-28,ads,Pro,32,False,False
ACC1078,Riley LLC,EdTech,AO,2025-03-24,ads,Pro,32,True,True
ACC1079,"Williams, Burke and Harrison",DevTools,AT,2024-12-01,organic,Pro,1,False,True
ACC1080,Bailey PLC,EdTech,MD,2024-08-17,organic,Basic,41,False,True
ACC1081,Grant-Schneider,EdTech,SC,2025-05-27,partner,Basic,38,False,False
ACC1082,"Williams, Reyes and Thompson",DevTools,ES,2024-08-18,partner,Enterprise,28,False,False
ACC1083,Boone and Sons,SaaS,WS,2025-06-08,organic,Basic,13,True,False
ACC1084,Adams LLC,DevTools,TL,2024-07-29,partner,Basic,17,False,False
ACC1085,"Bullock, Guzman and Patel",FinTech,LT,2025-08-12,organic,Enterprise,17,True,True
ACC1086,Thomas-Taylor,EdTech,LB,2024-09-15,ads,Pro,17,False,False
ACC1087,Mccoy PLC,FinTech,HT,2025-11-12,partner,Basic,29,False,True
ACC1088,"Walker, Neal and Burns",FinTech,BA,2025-09-12,partner,Pro,37,False,True
ACC1089,"Carlson, Dickson and Barker",DevTools,TG,2025-04-23,event,Basic,1,False,False
ACC1090,Meyer Inc,EdTech,ZW,2024-06-02,partner,Basic,31,True,False
ACC1091,Harris-Hines,FinTech,IL,2025-10-06,event,Basic,21,True,False
ACC1092,Ferguson-Acosta,EdTech,OM,2026-01-20,partner,Enterprise,19,False,True
ACC1093,"Abbott, Edwards and West",FinTech,VU,2024-06-15,organic,Basic,21,False,True
ACC1094,Copeland-Hood,FinTech,PE,2025-05-15,ads,Enterprise,20,False,True
ACC1095,"Tran, Rodriguez and Carpenter",FinTech,MZ,2026-02-18,ads,Enterprise,40,False,True
ACC1096,"Bradford, Graham and Barber",EdTech,SV,2025-08-30,event,Basic,49,False,False
ACC1097,Alexander-Murphy,EdTech,CG,2024-12-18,partner,Pro,29,True,False
ACC1098,Morales PLC,DevTools,PA,2024-10-31,ads,Pro,9,False,False
ACC1099,"Cain, Kent and Santos",DevTools,AL,2024-08-12,partner,Enterprise,41,True,True
ACC1100,Hanson Group,FinTech,QA,2025-09-25,ads,Pro,21,False,False
ACC1101,Rodriguez-Becker,SaaS,NI,2024-10-13,organic,Basic,10,True,False
ACC1102,Holt-Davis,DevTools,TZ,2025-03-19,partner,Pro,1,False,True
ACC1103,Wilson-Peterson,SaaS,MA,2026-02-16,partner,Basic,33,False,False
ACC1104,Davis-Gallagher,FinTech,SB,2025-06-04,ads,Pro,37,True,False
ACC1105,Anderson Group,FinTech,AU,2026-04-15,partner,Enterprise,15,False,False
ACC1106,King-Chase,EdTech,YE,2025-10-31,partner,Enterprise,37,True,False
ACC1107,"George, Nichols and Silva",EdTech,AL,2026-03-01,ads,Basic,3,True,True
ACC1108,Evans-Donaldson,EdTech,AR,2024-09-06,partner,Enterprise,26,True,False
ACC1109,Martinez-Hatfield,FinTech,CU,2024-06-16,ads,Enterprise,15,True,True
ACC1110,Cook-Torres,EdTech,SV,2026-03-24,event,Enterprise,22,True,True
ACC1111,Williams-Durham,EdTech,PW,2025-06-24,event,Basic,24,False,True
ACC1112,Rios-Gonzalez,SaaS,AL,2025-10-07,partner,Enterprise,24,False,True
ACC1113,Klein Group,EdTech,PS,2024-11-18,partner,Basic,2,False,True
ACC1114,Castro Group,FinTech,LS,2025-10-17,event,Enterprise,32,True,True
ACC1115,Curtis LLC,FinTech,IE,2025-08-29,partner,Pro,50,True,False
ACC1116,Barnes-Martinez,FinTech,MR,2025-05-31,event,Pro,10,True,False
ACC1117,Mcpherson-Baker,FinTech,MG,2024-07-01,partner,Pro,11,False,True
ACC1118,Mendoza Inc,SaaS,TG,2024-11-27,partner,Pro,9,False,True
ACC1119,White Ltd,DevTools,VA,2024-06-01,event,Pro,24,True,False
ACC1120,Roth-Ramsey,FinTech,ZM,2025-06-07,organic,Pro,29,False,False
ACC1121,Mcmillan-Johnson,EdTech,TL,2024-05-19,organic,Enterprise,12,False,False
ACC1122,Alexander Inc,FinTech,CM,2024-10-16,organic,Pro,12,True,False
ACC1123,Erickson-Anderson,EdTech,SL,2025-08-30,organic,Pro,26,False,False
ACC1124,"Moreno, Burns and Molina",EdTech,GD,2024-07-16,event,Basic,18,True,True
ACC1125,Webb-Hayes,SaaS,GN,2026-01-01,ads,Basic,28,True,True
ACC1126,"Johnson, Smith and Lee",EdTech,ST,2025-11-20,ads,Enterprise,8,False,True
ACC1127,Taylor Ltd,DevTools,BG,2024-08-25,ads,Pro,7,False,True
ACC1128,Lee-Miller,FinTech,LR,2025-01-29,partner,Pro,42,False,True
ACC1129,Arias-Rivera,DevTools,KP,2026-01-13,ads,Basic,5,True,False
ACC1130,Ryan-Howell,DevTools,JM,2024-10-07,ads,Enterprise,12,False,True
ACC1131,"Ross, Lopez and Franco",DevTools,ER,2024-06-18,ads,Basic,10,True,True
ACC1132,Medina Inc,EdTech,BS,2026-03-01,partner,Basic,6,False,False
ACC1133,Scott LLC,EdTech,VC,2024-07-18,event,Enterprise,45,False,True
ACC1134,Bell PLC,FinTech,SR,2025-07-19,event,Pro,43,False,True
ACC1135,Melendez-Davis,EdTech,MY,2026-02-27,ads,Pro,15,True,False
ACC1136,"White, Riley and Caldwell",SaaS,MT,2024-05-10,partner,Pro,29,True,True
ACC1137,Brown-Huffman,EdTech,DM,2024-05-13,event,Pro,31,True,True
ACC1138,Walker-Krueger,SaaS,PW,2024-06-23,ads,Enterprise,40,True,True
ACC1139,Garcia-Richardson,FinTech,LU,2026-03-04,ads,Enterprise,49,False,True
ACC1140,Hubbard Group,FinTech,HT,2024-07-18,ads,Enterprise,20,False,True
ACC1141,Martin LLC,EdTech,AR,2025-09-02,partner,Basic,33,True,False
ACC1142,Miller-Morales,SaaS,TW,2025-03-18,ads,Enterprise,48,False,False
ACC1143,Ellis-Brown,FinTech,CO,2024-11-23,ads,Enterprise,16,False,True
ACC1144,Lewis Ltd,FinTech,PT,2025-08-09,organic,Pro,18,True,True
ACC1145,Gilbert PLC,SaaS,MZ,2025-05-29,event,Enterprise,13,False,True
ACC1146,Jones LLC,FinTech,GA,2024-09-29,ads,Enterprise,18,False,False
ACC1147,Nichols-Brown,SaaS,PH,2024-10-29,ads,Enterprise,15,False,True
ACC1148,Walker-Berg,EdTech,DE,2024-07-16,partner,Enterprise,18,False,True
ACC1149,"Romero, Gomez and Patrick",DevTools,ES,2025-06-12,event,Enterprise,10,True,True
ACC1150,"Hernandez, Perez and Wilcox",DevTools,BW,2025-09-23,event,Pro,48,False,True
ACC1151,Cook Group,EdTech,GH,2024-06-18,partner,Enterprise,13,False,True
ACC1152,Carter-Huang,SaaS,MM,2025-05-26,organic,Basic,41,False,False
ACC1153,Garza Ltd,FinTech,NP,2024-11-10,organic,Pro,28,False,True
ACC1154,"Snyder, Cohen and King",DevTools,LR,2025-11-28,ads,Enterprise,6,True,False
ACC1155,Reed-Sparks,DevTools,NG,2024-05-16,partner,Pro,28,False,True
ACC1156,Fischer LLC,DevTools,TZ,2024-07-07,partner,Pro,20,True,True
ACC1157,"Fernandez, Marsh and Ruiz",EdTech,SA,2025-11-02,event,Pro,30,False,True
ACC1158,Fritz-Sosa,SaaS,PH,2026-02-02,event,Enterprise,29,True,False
ACC1159,"Lawson, Goodman and Davenport",SaaS,LU,2025-12-18,ads,Enterprise,23,False,False
ACC1160,Ramos Ltd,EdTech,IS,2025-07-17,ads,Basic,21,False,True
ACC1161,"Hubbard, Moody and Joyce",EdTech,IN,2025-09-04,partner,Enterprise,38,True,True
ACC1162,Ramsey-Jimenez,EdTech,OM,2026-04-17,ads,Enterprise,46,False,False
ACC1163,Jenkins Inc,FinTech,ZW,2025-11-07,organic,Basic,10,True,False
ACC1164,Davis-Barrera,SaaS,TL,2025-03-15,organic,Pro,50,True,False
ACC1165,Morales Group,SaaS,NO,2026-02-19,event,Basic,50,True,True
ACC1166,Miller Ltd,EdTech,UY,2024-07-20,organic,Basic,36,False,False
ACC1167,Fox-Martinez,DevTools,DM,2025-02-28,ads,Pro,25,True,True
ACC1168,Kim-Flowers,DevTools,AE,2025-08-20,partner,Basic,27,False,True
ACC1169,Lee-Shaw,SaaS,MG,2024-08-23,partner,Basic,41,False,True
ACC1170,Castillo-Braun,DevTools,IR,2025-02-15,event,Enterprise,27,False,False
ACC1171,Rowe and Sons,EdTech,PT,2024-10-05,event,Basic,39,True,True
ACC1172,"Smith, Morgan and Harris",EdTech,MC,2025-11-04,organic,Pro,1,True,True
ACC1173,"Morris, Thompson and Mcgrath",EdTech,ZM,2025-11-06,ads,Basic,9,False,True
ACC1174,"Christensen, Knapp and Ortiz",SaaS,BO,2025-03-11,event,Pro,2,False,True
ACC1175,Williams-Miller,EdTech,TR,2024-07-08,ads,Enterprise,46,False,True
ACC1176,Stokes-Brock,SaaS,AU,2025-07-02,organic,Basic,9,True,True
ACC1177,Sims Ltd,FinTech,SR,2024-11-24,event,Enterprise,35,True,False
ACC1178,Glover-Stephens,FinTech,HR,2026-02-21,ads,Pro,1,True,True
ACC1179,"Mitchell, Rodriguez and Wong",DevTools,PE,2024-06-26,partner,Basic,41,False,True
ACC1180,Gallegos and Sons,SaaS,CV,2026-04-25,partner,Pro,8,False,True
ACC1181,Mcgee PLC,EdTech,NE,2024-06-06,event,Pro,6,False,False
ACC1182,"Spears, Strong and Pierce",FinTech,NG,2025-03-15,event,Enterprise,9,False,True
ACC1183,"Pena, Holland and Wong",DevTools,LU,2024-12-15,ads,Pro,43,True,False
ACC1184,Goodman-Garcia,SaaS,OM,2026-03-23,ads,Basic,38,True,False
ACC1185,Schmidt and Sons,SaaS,KZ,2025-10-08,event,Basic,45,True,False
ACC1186,"Martinez, Espinoza and Andrews",DevTools,QA,2024-12-16,partner,Pro,4,True,False
ACC1187,Blackburn Inc,SaaS,BB,2026-01-13,partner,Enterprise,45,True,True
ACC1188,"Bender, Hobbs and Smith",SaaS,ML,2025-05-22,event,Enterprise,37,True,True
ACC1189,Hunt-Landry,DevTools,NO,2024-12-01,organic,Enterprise,37,True,False
ACC1190,Johnson-Pham,FinTech,SA,2026-04-20,organic,Basic,24,True,False
ACC1191,Farley and Sons,SaaS,SI,2024-09-05,organic,Enterprise,19,False,True
ACC1192,Gonzalez PLC,DevTools,ZW,2025-05-15,partner,Basic,36,False,False
ACC1193,Santiago-Martinez,DevTools,VU,2025-07-22,organic,Basic,27,False,True
ACC1194,Mills-Garrett,DevTools,DM,2024-06-10,event,Pro,20,False,True
ACC1195,Baker-Marquez,SaaS,DE,2024-07-21,partner,Pro,8,False,False
ACC1196,"Miller, Ford and Esparza",DevTools,GW,2026-01-16,partner,Basic,22,True,True
ACC1197,"Coffey, Jones and Dean",SaaS,IR,2024-05-23,event,Basic,14,True,True
ACC1198,"Ramirez, Richardson and Grant",FinTech,GD,2025-10-15,organic,Enterprise,3,False,True
ACC1199,"Williams, Villegas and Adkins",FinTech,GH,2024-12-10,event,Pro,47,True,True
ACC1200,Andrews and Sons,EdTech,FM,2025-02-12,organic,Enterprise,14,False,False
ACC1201,"Horton, Berry and Nelson",EdTech,LK,2024-07-10,organic,Basic,34,False,False
ACC1202,Price-Mcclain,DevTools,KG,2025-03-28,event,Enterprise,40,True,False
ACC1203,"Barrett, Sparks and Galvan",SaaS,KG,2025-11-09,ads,Enterprise,10,True,True
ACC1204,Powers Group,FinTech,AG,2025-07-20,partner,Pro,9,False,True
ACC1205,Kim Inc,FinTech,MR,2026-02-08,ads,Pro,37,True,False
ACC1206,"Hurley, Smith and Murphy",DevTools,MC,2024-09-19,ads,Basic,23,False,False
ACC1207,Whitaker-Bates,SaaS,PY,2024-05-13,organic,Basic,6,True,False
ACC1208,"Johnson, Holt and Lee",SaaS,SY,2024-12-04,event,Pro,18,False,True
ACC1209,Howard PLC,SaaS,EG,2024-09-19,ads,Basic,39,True,False
ACC1210,"Martin, Boyer and Roberts",EdTech,DZ,2024-09-17,partner,Enterprise,24,False,False
ACC1211,"Thomas, Daniels and Curry",FinTech,UZ,2024-05-09,ads,Basic,49,False,True
ACC1212,Bass LLC,FinTech,TJ,2024-05-27,ads,Basic,3,False,True
ACC1213,"Andrade, Mooney and Moore",FinTech,IS,2024-06-29,organic,Pro,44,False,True
ACC1214,"Howard, Oliver and Moreno",EdTech,IE,2025-07-25,ads,Enterprise,30,False,True
ACC1215,"Kim, Hahn and Norris",EdTech,LK,2024-11-27,organic,Enterprise,19,False,False
ACC1216,Price LLC,FinTech,VA,2025-03-18,event,Basic,36,False,True
ACC1217,Johnson-Lawson,SaaS,BT,2025-05-31,event,Enterprise,12,True,True
ACC1218,Munoz Inc,SaaS,GD,2025-05-29,ads,Basic,36,True,False
ACC1219,"Petersen, James and Richardson",DevTools,LS,2026-02-13,partner,Basic,42,False,True
ACC1220,Wells-Sanchez,SaaS,TW,2024-07-28,ads,Pro,17,True,False
ACC1221,"Bowman, White and Blair",FinTech,AF,2025-07-16,organic,Basic,12,True,True
ACC1222,"Roberson, Roberts and Navarro",SaaS,SI,2025-03-06,ads,Basic,26,False,False
ACC1223,"Stewart, Reyes and Ritter",FinTech,BA,2026-03-04,partner,Pro,22,True,True
ACC1224,Frazier Inc,FinTech,KM,2026-03-17,organic,Pro,2,True,True
ACC1225,"Burns, Wright and Waller",FinTech,SI,2024-06-10,event,Basic,40,False,False
ACC1226,"Gilmore, Hunt and Mckee",DevTools,AL,2026-01-17,partner,Enterprise,16,True,False
ACC1227,Robinson-Stewart,SaaS,DM,2025-05-05,event,Pro,41,False,True
ACC1228,"Werner, Bond and Smith",EdTech,ZM,2025-03-26,partner,Enterprise,34,True,True
ACC1229,Collins and Sons,SaaS,LK,2026-02-27,partner,Enterprise,38,True,False
ACC1230,Brown and Sons,SaaS,WS,2025-02-08,organic,Enterprise,15,False,False
ACC1231,Tanner-Rice,EdTech,ML,2024-09-29,partner,Basic,43,False,False
ACC1232,Castro Ltd,EdTech,AG,2024-05-23,partner,Enterprise,43,True,True
ACC1233,Reynolds-Mosley,DevTools,TV,2025-10-13,partner,Basic,10,True,False
ACC1234,"Lewis, Wall and Rodriguez",SaaS,JP,2025-05-13,organic,Basic,16,True,True
ACC1235,Smith-Green,FinTech,MK,2025-03-25,ads,Enterprise,6,True,False
ACC1236,Watts Ltd,FinTech,IT,2024-05-10,partner,Enterprise,45,False,True
ACC1237,Thornton and Sons,FinTech,LY,2025-05-29,ads,Pro,48,True,True
ACC1238,Webb Ltd,FinTech,ST,2024-10-30,ads,Enterprise,7,False,False
ACC1239,Hammond Group,EdTech,BF,2024-05-07,partner,Enterprise,1,False,False
ACC1240,Ramirez Group,DevTools,DE,2026-01-04,ads,Enterprise,39,False,False
ACC1241,Buchanan Group,EdTech,VU,2025-05-26,ads,Basic,31,False,False
ACC1242,"Hamilton, Price and Taylor",FinTech,LC,2024-07-26,partner,Enterprise,9,False,False
ACC1243,Johnson Group,EdTech,GA,2025-10-22,partner,Pro,40,False,True
ACC1244,Andrews Inc,DevTools,GH,2025-08-05,partner,Pro,28,True,False
ACC1245,"Macdonald, Hansen and Mcmillan",DevTools,TR,2025-02-23,event,Basic,25,True,False
ACC1246,Chavez LLC,EdTech,CA,2025-03-10,partner,Basic,10,True,True
ACC1247,Young PLC,FinTech,AD,2024-10-14,ads,Basic,40,False,True
ACC1248,"Rhodes, Anderson and Jensen",SaaS,SZ,2024-05-07,partner,Pro,30,False,False
ACC1249,"Flores, Olsen and Martinez",SaaS,DE,2025-07-09,ads,Enterprise,14,True,True
ACC1250,Brooks Group,SaaS,ES,2025-11-21,organic,Basic,15,True,False
ACC1251,"Travis, Brown and Cooper",SaaS,TW,2026-03-25,ads,Basic,45,False,True
ACC1252,"Brennan, Sanders and Blair",FinTech,RS,2025-05-26,partner,Basic,35,False,False
ACC1253,"Thompson, Thompson and Roberts",EdTech,SI,2024-09-14,partner,Basic,47,False,False
ACC1254,Reed-Griffin,SaaS,BJ,2025-12-16,ads,Basic,17,True,False
ACC1255,Smith Ltd,FinTech,PH,2026-03-17,ads,Enterprise,30,True,False
ACC1256,Edwards Inc,DevTools,SB,2026-01-14,ads,Enterprise,43,False,True
ACC1257,"King, Koch and Berry",EdTech,ME,2025-04-09,organic,Enterprise,35,False,True
ACC1258,"Stewart, Diaz and Crawford",DevTools,CR,2024-08-14,ads,Pro,34,True,True
ACC1259,Tyler LLC,FinTech,TG,2025-02-26,ads,Basic,34,True,True
ACC1260,Thompson Group,DevTools,KG,2026-03-20,event,Pro,47,True,False
ACC1261,Williams-Ford,DevTools,UY,2025-11-19,ads,Enterprise,20,True,True
ACC1262,White-Cooper,EdTech,AF,2025-05-18,partner,Enterprise,46,True,True
ACC1263,Robinson-Barron,SaaS,DJ,2024-08-04,ads,Basic,50,False,True
ACC1264,Stephens LLC,EdTech,GE,2026-03-06,ads,Pro,19,False,False
ACC1265,Dunlap Ltd,EdTech,AG,2026-04-11,ads,Enterprise,47,False,True
ACC1266,Wilkinson PLC,DevTools,PS,2026-04-15,ads,Basic,6,False,True
ACC1267,Hays-Beard,DevTools,PW,2025-06-11,partner,Pro,39,False,False
ACC1268,"Hill, Hamilton and Horton",SaaS,FJ,2025-08-19,partner,Pro,41,True,True
ACC1269,Brown PLC,DevTools,TD,2026-04-27,ads,Basic,15,False,True
ACC1270,"Barker, Silva and Weiss",EdTech,KH,2026-01-15,organic,Enterprise,8,True,True
ACC1271,Snow and Sons,EdTech,SV,2026-01-17,partner,Basic,29,False,False
ACC1272,"Hickman, Hopkins and Stone",SaaS,SO,2025-01-31,ads,Pro,23,True,True
ACC1273,"Lloyd, Davis and Thompson",FinTech,SO,2024-06-28,partner,Enterprise,4,False,False
ACC1274,Tucker-Chavez,FinTech,KI,2025-04-21,partner,Pro,30,False,False
ACC1275,Shelton PLC,SaaS,TT,2025-08-09,organic,Basic,21,True,False
ACC1276,Mccormick-Brown,EdTech,IN,2024-08-17,partner,Pro,38,False,True
ACC1277,Nguyen and Sons,DevTools,RW,2026-04-15,ads,Basic,12,True,True
ACC1278,"Kim, Morgan and Mcdowell",FinTech,SG,2026-01-05,partner,Pro,39,True,True
ACC1279,"Lowe, Anderson and Guerra",DevTools,TH,2025-12-08,event,Basic,4,False,True
ACC1280,"Soto, Mercer and Carter",DevTools,AR,2025-01-19,organic,Basic,19,False,False
ACC1281,Lee Ltd,EdTech,NP,2026-01-22,organic,Enterprise,47,True,False
ACC1282,"Boyd, Duran and Murphy",DevTools,BR,2025-11-13,event,Basic,8,False,True
ACC1283,"Smith, Hicks and Soto",EdTech,SM,2025-05-31,event,Basic,15,False,True
ACC1284,"Vargas, Simpson and Austin",EdTech,DZ,2025-01-03,partner,Enterprise,34,False,False
ACC1285,Myers-Bennett,EdTech,SO,2024-07-05,organic,Basic,22,True,False
ACC1286,"Kaufman, Jones and Hart",EdTech,FM,2025-06-08,ads,Enterprise,26,True,False
ACC1287,Swanson Inc,SaaS,SE,2025-07-23,event,Pro,23,True,False
ACC1288,Fields-Farley,SaaS,GE,2025-11-09,ads,Basic,9,False,True
ACC1289,Johnson-Duncan,FinTech,PE,2024-07-25,event,Basic,41,False,False
ACC1290,Terrell PLC,FinTech,NP,2024-06-08,event,Basic,50,False,True
ACC1291,Brown and Sons,FinTech,LA,2024-10-30,event,Basic,18,False,True
ACC1292,Jones Ltd,EdTech,CV,2026-04-19,organic,Pro,17,True,False
ACC1293,"Taylor, Barnett and Grimes",DevTools,CN,2025-10-01,partner,Basic,45,False,True
ACC1294,"Rose, Garcia and Hill",DevTools,NI,2025-05-09,partner,Enterprise,31,True,False
ACC1295,Garcia LLC,FinTech,SB,2025-09-03,organic,Basic,8,True,False
ACC1296,"Johnson, Crawford and Key",FinTech,PS,2024-08-15,partner,Basic,16,True,False
ACC1297,Lopez-Shaw,FinTech,GT,2025-10-01,event,Enterprise,26,True,True
ACC1298,"Freeman, Johnson and Gutierrez",SaaS,AF,2025-03-11,partner,Pro,35,True,True
ACC1299,Smith-Williams,DevTools,MU,2025-04-04,ads,Enterprise,1,False,False
ACC1300,Brown Ltd,SaaS,LA,2024-07-21,partner,Pro,26,False,True
ACC1301,"Kramer, Sparks and Morton",SaaS,LU,2025-11-23,partner,Enterprise,46,True,False
ACC1302,"Graham, Rodriguez and Smith",FinTech,NG,2025-07-08,partner,Pro,8,False,False
ACC1303,"Smith, Scott and Jones",FinTech,IQ,2024-11-11,partner,Enterprise,22,True,False
ACC1304,Kerr PLC,FinTech,AO,2025-03-06,organic,Enterprise,43,False,True
ACC1305,"Jones, Haley and Crawford",EdTech,GN,2024-05-07,partner,Enterprise,41,True,False
